1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 800000002E7E0B21,,
Is Mission Active?  false,,
Mission Start:  Sat Dec 16 12:01:00 EST 2017,,
Sample Rate:  Every 120 minute(s),,
Number of Mission Samples:  2006,,
Total Samples:  88095,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has NOT occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,
,,
Date/Time,Unit,Value
1/14/18 18:01,C,0
1/14/18 20:01,C,0
1/14/18 22:01,C,0
1/15/18 0:01,C,0
1/15/18 2:01,C,0
1/15/18 4:01,C,0
1/15/18 6:01,C,0
1/15/18 8:01,C,0
1/15/18 10:01,C,0
1/15/18 12:01,C,0
1/15/18 14:01,C,0
1/15/18 16:01,C,0
1/15/18 18:01,C,0
1/15/18 20:01,C,0
1/15/18 22:01,C,0
1/16/18 0:01,C,0
1/16/18 2:01,C,0
1/16/18 4:01,C,0
1/16/18 6:01,C,0
1/16/18 8:01,C,0
1/16/18 10:01,C,0
1/16/18 12:01,C,0
1/16/18 14:01,C,0
1/16/18 16:01,C,0
1/16/18 18:01,C,0
1/16/18 20:01,C,0
1/16/18 22:01,C,0
1/17/18 0:01,C,0
1/17/18 2:01,C,0
1/17/18 4:01,C,0
1/17/18 6:01,C,0
1/17/18 8:01,C,0
1/17/18 10:01,C,0
1/17/18 12:01,C,0
1/17/18 14:01,C,0
1/17/18 16:01,C,0
1/17/18 18:01,C,0
1/17/18 20:01,C,0
1/17/18 22:01,C,-0.5
1/18/18 0:01,C,0
1/18/18 2:01,C,-0.5
1/18/18 4:01,C,-0.5
1/18/18 6:01,C,-0.5
1/18/18 8:01,C,-0.5
1/18/18 10:01,C,-0.5
1/18/18 12:01,C,-0.5
1/18/18 14:01,C,-0.5
1/18/18 16:01,C,-0.5
1/18/18 18:01,C,-0.5
1/18/18 20:01,C,-0.5
1/18/18 22:01,C,-0.5
1/19/18 0:01,C,-0.5
1/19/18 2:01,C,-0.5
1/19/18 4:01,C,-0.5
1/19/18 6:01,C,-0.5
1/19/18 8:01,C,-0.5
1/19/18 10:01,C,-0.5
1/19/18 12:01,C,-0.5
1/19/18 14:01,C,-0.5
1/19/18 16:01,C,-0.5
1/19/18 18:01,C,-0.5
1/19/18 20:01,C,-0.5
1/19/18 22:01,C,-0.5
1/20/18 0:01,C,-0.5
1/20/18 2:01,C,-0.5
1/20/18 4:01,C,-0.5
1/20/18 6:01,C,-0.5
1/20/18 8:01,C,-0.5
1/20/18 10:01,C,-0.5
1/20/18 12:01,C,-0.5
1/20/18 14:01,C,-0.5
1/20/18 16:01,C,-0.5
1/20/18 18:01,C,-0.5
1/20/18 20:01,C,-0.5
1/20/18 22:01,C,-0.5
1/21/18 0:01,C,-0.5
1/21/18 2:01,C,-0.5
1/21/18 4:01,C,-0.5
1/21/18 6:01,C,-0.5
1/21/18 8:01,C,-0.5
1/21/18 10:01,C,-0.5
1/21/18 12:01,C,-0.5
1/21/18 14:01,C,-0.5
1/21/18 16:01,C,-0.5
1/21/18 18:01,C,-0.5
1/21/18 20:01,C,-0.5
1/21/18 22:01,C,-0.5
1/22/18 0:01,C,-0.5
1/22/18 2:01,C,-0.5
1/22/18 4:01,C,-0.5
1/22/18 6:01,C,-0.5
1/22/18 8:01,C,-0.5
1/22/18 10:01,C,-0.5
1/22/18 12:01,C,0
1/22/18 14:01,C,-0.5
1/22/18 16:01,C,-0.5
1/22/18 18:01,C,0
1/22/18 20:01,C,0
1/22/18 22:01,C,-0.5
1/23/18 0:01,C,0
1/23/18 2:01,C,0
1/23/18 4:01,C,0
1/23/18 6:01,C,0
1/23/18 8:01,C,0
1/23/18 10:01,C,0
1/23/18 12:01,C,0
1/23/18 14:01,C,0
1/23/18 16:01,C,0
1/23/18 18:01,C,0
1/23/18 20:01,C,0
1/23/18 22:01,C,0
1/24/18 0:01,C,0
1/24/18 2:01,C,0
1/24/18 4:01,C,0
1/24/18 6:01,C,0
1/24/18 8:01,C,0
1/24/18 10:01,C,0
1/24/18 12:01,C,0
1/24/18 14:01,C,0
1/24/18 16:01,C,0
1/24/18 18:01,C,0
1/24/18 20:01,C,0
1/24/18 22:01,C,0
1/25/18 0:01,C,0
1/25/18 2:01,C,0
1/25/18 4:01,C,0
1/25/18 6:01,C,0
1/25/18 8:01,C,0
1/25/18 10:01,C,0
1/25/18 12:01,C,0
1/25/18 14:01,C,0
